job_id,job_title,company_name,location,description_text,qualifications,experience_years,salary_formatted,job_type,industry,apply_link
108,Senior Site Reliability Engineer,Elm,Riyadh,"Ensure reliability, scalability, and performance of production systems. Build tooling to reduce toil and improve observability.","Kubernetes, Prometheus, Go, AWS, Incident Response, Terraform, Python",5-8,22000-32000 SAR,Contract,GovTech,https://careers.elm.sa/job/108
109,Embedded Systems Engineer,Bayanat Analytics,Dhahran,Design and implement embedded solutions for critical infrastructure monitoring and control systems.,"IoT, CAN Bus, Embedded Linux, RTOS, ARM, C++",3-5,14000-22000 SAR,Full-time,Energy,https://careers.bayanat.sa/job/109
110,Senior Scrum Master,Al Rajhi Bank,Riyadh,Coach teams on Scrum practices and Agile principles. Coordinate dependencies across teams.,"Scrum, Kanban, Facilitation, Confluence, Jira, SAFe",4-6,16000-24000 SAR,Full-time,Banking,https://careers.alrajhibank.com.sa/job/110
111,Junior Machine Learning Engineer,Alinma Bank,Madinah,Design and implement ML platforms and tooling. Optimize model performance and maintain production systems.,"Kubeflow, FastAPI, MLflow, PyTorch, Python",3-5,18000-26000 SAR,Full-time,Banking,https://careers.alinma.com/job/111
112,Business Analyst,Ernst & Young KSA,Riyadh,Analyze business processes and translate requirements into technical solutions. Deliver insights for Vision 2030 projects.,"Excel, Requirements Analysis, Process Mapping, Power BI",3-5,13000-19000 SAR,Contract,Consulting,https://careers.ey.com/sa/job/112
113,Senior AI Engineer,Tahaluf,Madinah,Develop AI-powered features and integrate ML models into products. Maintain and improve AI infrastructure.,"MLOps, Docker, Computer Vision, Python, NLP, CUDA, FastAPI",3-5,18000-28000 SAR,Full-time,Events Tech,https://careers.tahaluf.ae/job/113
114,Senior IT Project Manager,STV,Riyadh,"Lead IT delivery projects from initiation to closure. Manage scope, budget, timeline, and stakeholder expectations.","MS Project, PMP, Risk Management, Scrum, PRINCE2, Agile",5-8,20000-30000 SAR,Contract,Media,https://careers.stv.tv/job/114
115,AI Engineer,Al Rajhi Bank,Tabuk,Develop AI-powered features and integrate ML models into products. Maintain and improve AI infrastructure.,"PyTorch, Docker, NLP, Computer Vision, FastAPI",3-5,18000-28000 SAR,Full-time,Banking,https://careers.alrajhibank.com.sa/job/115
116,Senior Data Scientist,PwC Saudi Arabia,Jeddah,Build and deploy ML models to solve business problems. Work with large datasets to extract actionable insights.,"Scikit-learn, SQL, TensorFlow, Statistics, PyTorch",1-3,12000-18000 SAR,Full-time,Consulting,https://careers.pwc.com/sa/job/116
117,Senior Systems Administrator,King Fahd University,Dhahran,"Administer on-premise and cloud systems. Handle patching, backup, and disaster recovery procedures.","Linux, ITIL, Active Directory, Windows Server, VMware, Backup Solutions",3-5,11000-17000 SAR,Contract,Education,https://careers.kfupm.edu.sa/job/117
118,Junior Frontend Developer,KACST,Riyadh,Develop and maintain customer-facing web applications. Collaborate closely with UX designers and backend teams.,"Next.js, Git, TypeScript, React",3-5,15000-22000 SAR,Contract,Research,https://careers.kacst.edu.sa/job/118
119,Lead Data Engineer,KAUST,Jeddah,Develop streaming and batch data pipelines processing millions of events daily.,"Apache Spark, dbt, Python, Airflow",5-7,20000-28000 SAR,Full-time,Education,https://careers.kaust.edu.sa/job/119
120,Senior Robotics Engineer,Salla,Makkah,Design and develop robotic systems for industrial and smart city applications.,"Motion Planning, SLAM, ROS, Sensors",5-8,24000-36000 SAR,Contract,Smart City,https://careers.salla.com/job/120
121,Backend Developer,KAUST,Dhahran,Design database schemas and optimize query performance. Implement secure authentication and authorization systems.,"AWS, Node.js, Python, PostgreSQL, REST APIs",2-4,12000-18000 SAR,Full-time,Education,https://careers.kaust.edu.sa/job/121
122,Backend Developer,Unifonic,Riyadh,Design database schemas and optimize query performance. Implement secure authentication and authorization systems.,"GraphQL, Docker, Python, REST APIs",3-5,14000-22000 SAR,Contract,Communication,https://careers.unifonic.com/job/122
123,Junior Security Operations Center (SOC) Analyst,PwC Saudi Arabia,Riyadh,Monitor security alerts and investigate incidents in a 24/7 SOC environment. Triaging and escalating threats.,"OSINT, Incident Response, Python, SIEM, Splunk, Threat Intelligence, Network Security",1-3,10000-15000 SAR,Full-time,Consulting,https://careers.pwc.com/sa/job/123
124,DevOps Engineer,Noon,Riyadh,Automate infrastructure provisioning and deployment workflows. Monitor system health and respond to incidents.,"CI/CD, Terraform, AWS, Prometheus, Linux, Ansible",5-8,20000-30000 SAR,Full-time,E-commerce,https://careers.noon.com/job/124
125,Robotics Engineer,Lean Technologies,Khobar,Design and develop robotic systems for industrial and smart city applications.,"Sensors, SLAM, C++, Deep Learning, Motion Planning, Computer Vision, Python",5-8,24000-36000 SAR,Full-time,Smart City,https://careers.leantech.me/job/125
126,Junior Mobile Developer — iOS,SAP Saudi Arabia,Tabuk,"Develop and maintain iOS applications with millions of active users. Focus on performance, stability, and user experience.","Xcode, SwiftUI, Swift, UIKit",2-4,12000-18000 SAR,Full-time,ERP,https://careers.sap.com/sa/job/126
127,Robotics Engineer,STV,Riyadh,Build perception and motion planning systems for autonomous robots deployed in warehouses and public spaces.,"SLAM, Deep Learning, Sensors, Python, Computer Vision, C++",3-5,18000-28000 SAR,Full-time,Smart City,https://careers.stv.tv/job/127
128,Lead Database Administrator,Salla,Jeddah,"Manage and optimize enterprise database systems. Ensure availability, performance, and security of critical data.","SQL Server, Backup & Recovery, Python, Oracle",5-8,17000-25000 SAR,Full-time,E-commerce,https://careers.salla.com/job/128
129,Solution Architect,STV,Jubail,Lead technical pre-sales and solution design for complex transformation programs.,"AWS, Azure, API Design, Microservices",6-10,24000-36000 SAR,Full-time,Media,https://careers.stv.tv/job/129
130,Senior DevOps Engineer,Jabal Omar,Jeddah,Automate infrastructure provisioning and deployment workflows. Monitor system health and respond to incidents.,"Docker, AWS, Prometheus, CI/CD",2-4,14000-20000 SAR,Full-time,Real Estate,https://careers.jabalomar.com.sa/job/130
131,Senior Business Analyst,Lean Technologies,Riyadh,Analyze business processes and translate requirements into technical solutions. Deliver insights for Vision 2030 projects.,"Power BI, Stakeholder Management, SQL, Tableau, Requirements Analysis",2-4,10000-16000 SAR,Full-time,Fintech,https://careers.leantech.me/job/131
132,Digital Marketing Specialist,Google Saudi Arabia,Riyadh,Grow online presence and drive customer acquisition through data-driven marketing strategies.,"SEO, Meta Ads, Content Marketing, Analytics, SQL, Google Ads, HubSpot",1-3,8000-12000 SAR,Remote,Tech,https://careers.google.com/sa/job/132
133,Senior Machine Learning Engineer,Saudi Aramco,Dhahran,Build production-grade ML systems and inference pipelines. Bridge research and engineering to deploy models at scale.,"FastAPI, MLflow, Python, Docker, Kubeflow, Spark",3-5,18000-26000 SAR,Full-time,Energy,https://careers.aramco.com/job/133
134,Junior Technical Support Engineer,Tabby,Riyadh,Provide Level 2/3 technical support for enterprise software and infrastructure. Resolve complex customer issues.,"Troubleshooting, SQL, Linux, Ticketing Systems, Customer Support, Windows, Networking",2-4,10000-15000 SAR,Full-time,Fintech,https://careers.tabby.ai/job/134
135,Senior IT Auditor,Amazon Saudi Arabia,Khobar,"Conduct IT audits to assess controls, compliance, and risk across technology infrastructure and systems.","ISO 27001, ITIL, COBIT, Risk Assessment, SQL, Audit Frameworks, Compliance",5-8,18000-26000 SAR,Full-time,Consulting,https://careers.amazon.sa/job/135
136,Senior Solution Architect,Dar Al Arkan,Riyadh,Lead technical pre-sales and solution design for complex transformation programs.,"API Design, Azure, AWS, Integration, Enterprise Architecture, TOGAF",6-10,24000-36000 SAR,Full-time,Real Estate,https://careers.daralarkan.com/job/136
137,Senior Database Administrator,Foodics,Dammam,"Manage and optimize enterprise database systems. Ensure availability, performance, and security of critical data.","Oracle, PostgreSQL, SQL Server, Linux, Python",5-8,17000-25000 SAR,Contract,SaaS,https://careers.foodics.com/job/137
138,Senior Data Analyst,Elm,Tabuk,"Monitor KPIs, identify trends, and present findings to leadership. Support data-driven decision making.","Statistics, Tableau, Google Analytics, Power BI, Excel, Python, SQL",2-4,11000-17000 SAR,Full-time,GovTech,https://careers.elm.sa/job/138
139,Senior Business Analyst,Saudi Payments,Dammam,"Bridge business and technology teams. Document requirements, analyze data, and drive process improvements.","Process Mapping, SQL, Tableau, Excel, Power BI, Stakeholder Management, Requirements Analysis",2-4,10000-16000 SAR,Full-time,Fintech,https://careers.saudipayments.com/job/139
140,Embedded Systems Engineer,Dar Al Arkan,Riyadh,Develop firmware and embedded software for industrial IoT and sensor systems.,"Firmware Development, IoT, C++, C, Embedded Linux, ARM",5-8,18000-28000 SAR,Contract,Energy,https://careers.daralarkan.com/job/140
141,Senior Data Engineer,SDAIA,Riyadh,Develop streaming and batch data pipelines processing millions of events daily.,"Snowflake, SQL, Delta Lake, Airflow, dbt, Kafka, Python",2-4,14000-20000 SAR,Full-time,AI/Government,https://careers.sdaia.gov.sa/job/141
142,Senior Machine Learning Engineer,Ma'aden,Jeddah,Build production-grade ML systems and inference pipelines. Bridge research and engineering to deploy models at scale.,"FastAPI, MLflow, Docker, Feature Engineering, PyTorch, Kubeflow, Python",4-6,20000-30000 SAR,Full-time,Mining,https://careers.maaden.com.sa/job/142
143,Senior NLP Engineer,PwC Saudi Arabia,Khobar,"Build Arabic NLP models for text classification, sentiment analysis, and information extraction.","BERT, FastAPI, Transformers, Arabic NLP, Python, LLMs",3-5,17000-25000 SAR,Full-time,AI/Analytics,https://careers.pwc.com/sa/job/143
144,Senior Senior Software Engineer,SAP Saudi Arabia,Riyadh,Architect and build scalable services handling high traffic loads. Drive technical decisions across the team.,"System Design, CI/CD, Kotlin, Java, Python, Docker, PostgreSQL",5-8,22000-32000 SAR,Full-time,ERP,https://careers.sap.com/sa/job/144
145,Senior Security Operations Center (SOC) Analyst,STC Solutions,Jubail,Analyze threat intelligence and respond to security incidents. Develop detection rules and runbooks.,"Splunk, OSINT, Network Security, Python, Threat Intelligence",1-3,10000-15000 SAR,Full-time,IT Services,https://careers.stcsolutions.com.sa/job/145
146,Senior Mobile Developer — Android,Ernst & Young KSA,Tabuk,Build and maintain Android mobile applications for millions of Saudi users. Optimize performance and user experience.,"Firebase, REST APIs, Android SDK, Jetpack Compose, Git, MVVM",2-4,12000-18000 SAR,Full-time,Consulting,https://careers.ey.com/sa/job/146
147,Senior Blockchain Developer,SDAIA,Dhahran,Develop smart contracts and blockchain-based solutions for fintech and government applications.,"Solidity, REST APIs, Python, Web3.js, Smart Contracts, Hyperledger",2-4,15000-22000 SAR,Full-time,Fintech,https://careers.sdaia.gov.sa/job/147
148,Junior Backend Developer,Bayanat Analytics,Riyadh,Design database schemas and optimize query performance. Implement secure authentication and authorization systems.,"PostgreSQL, REST APIs, Redis, Node.js, Python, AWS, GraphQL",2-4,12000-18000 SAR,Full-time,AI/Analytics,https://careers.bayanat.sa/job/148
149,Lead IT Project Manager,SDAIA,Riyadh,"Lead IT delivery projects from initiation to closure. Manage scope, budget, timeline, and stakeholder expectations.","Agile, PMP, Scrum, Stakeholder Management, MS Project, PRINCE2",5-8,20000-30000 SAR,Full-time,AI/Government,https://careers.sdaia.gov.sa/job/149
150,Junior UX Designer,Ministry of Health,Dhahran,Create intuitive interfaces and maintain design systems. Collaborate closely with product and engineering teams.,"Figma, Information Architecture, Prototyping, User Research",3-5,13000-20000 SAR,Full-time,Healthcare,https://careers.moh.gov.sa/job/150
151,Security Operations Center (SOC) Analyst,Deloitte Saudi Arabia,Riyadh,Monitor security alerts and investigate incidents in a 24/7 SOC environment. Triaging and escalating threats.,"SIEM, OSINT, Splunk, Incident Response, Threat Intelligence, Network Security",2-4,12000-18000 SAR,Contract,Consulting,https://careers.deloitte.com/sa/job/151
152,SAP Consultant,Alinma Bank,Abha,Implement and configure SAP ERP modules for government and enterprise clients. Conduct gap analysis and support go-live.,"ABAP, SAP ERP, SAP S/4HANA, SAP SD, SQL, SAP FICO",3-6,15000-22000 SAR,Full-time,ERP,https://careers.alinma.com/job/152
153,Senior Security Operations Center (SOC) Analyst,SAP Saudi Arabia,Riyadh,Analyze threat intelligence and respond to security incidents. Develop detection rules and runbooks.,"SIEM, Python, Incident Response, Threat Intelligence, Splunk, OSINT, Network Security",1-3,10000-15000 SAR,Full-time,ERP,https://careers.sap.com/sa/job/153
154,Senior Frontend Developer,Takamol Holding,Dammam,Build responsive and performant web UIs. Implement pixel-perfect designs and ensure cross-browser compatibility.,"Webpack, Redux, Next.js, Jest, TypeScript, HTML",1-3,10000-15000 SAR,Full-time,HR Tech,https://careers.takamol.com.sa/job/154
155,Senior Cloud Architect,Riyad Bank,Riyadh,Design multi-cloud architectures for enterprise and government clients. Define cloud strategy and migration roadmaps.,"Terraform, AWS, Azure, Networking, GCP, Security",8-12,30000-45000 SAR,Remote,Banking,https://careers.riyadbank.com/job/155
156,Senior Technical Support Engineer,Ministry of Health,Riyadh,Diagnose and troubleshoot technical problems. Document solutions and improve support knowledge base.,"Troubleshooting, Linux, Networking, Customer Support, SQL, Windows",1-3,8000-13000 SAR,Full-time,Healthcare,https://careers.moh.gov.sa/job/156
157,Senior Digital Marketing Specialist,Microsoft Saudi Arabia,Riyadh,Grow online presence and drive customer acquisition through data-driven marketing strategies.,"Meta Ads, Content Marketing, HubSpot, SEO, SQL, Google Ads, Analytics",1-3,8000-12000 SAR,Remote,IT Services,https://careers.microsoft.com/sa/job/157
158,Senior Cloud Architect,Telfaz11,Riyadh,Design multi-cloud architectures for enterprise and government clients. Define cloud strategy and migration roadmaps.,"Architecture Design, GCP, Terraform, Cost Optimization, Security, AWS",6-10,25000-38000 SAR,Full-time,Media,https://careers.telfaz11.com/job/158
159,Junior Data Scientist,Lean Technologies,Dammam,Develop predictive models and statistical analyses. Collaborate with business stakeholders on data-driven decisions.,"Python, PyTorch, Pandas, SQL, TensorFlow, Statistics",4-6,18000-26000 SAR,Full-time,Fintech,https://careers.leantech.me/job/159
160,Senior Software Engineer,Mobily,Tabuk,Lead design and implementation of complex distributed systems. Mentor junior engineers and define engineering standards.,"System Design, PostgreSQL, Kubernetes, CI/CD",5-8,22000-32000 SAR,Full-time,Telecom,https://careers.mobily.com.sa/job/160
161,DevOps Engineer,KACST,Riyadh,Manage containerized workloads and cloud infrastructure. Drive SRE practices across engineering teams.,"Docker, Jenkins, Terraform, Prometheus, AWS, Linux, CI/CD",3-5,16000-24000 SAR,Remote,Research,https://careers.kacst.edu.sa/job/161
162,Senior Software Engineer,Unifonic,Riyadh,Lead design and implementation of complex distributed systems. Mentor junior engineers and define engineering standards.,"AWS, Docker, System Design, CI/CD, Kotlin, Kubernetes",6-10,26000-38000 SAR,Full-time,Communication,https://careers.unifonic.com/job/162
163,Senior Data Analyst,Ernst & Young KSA,Riyadh,Transform raw data into clear visualizations and recommendations. Collaborate with operations and finance teams.,"Google Analytics, Statistics, Power BI, Tableau",3-5,13000-19000 SAR,Full-time,Consulting,https://careers.ey.com/sa/job/163
164,UX Designer,PwC Saudi Arabia,Dhahran,"Design user-centered experiences for digital products. Conduct research, build prototypes, and validate designs with users.","User Research, Information Architecture, Design Systems, Adobe XD",3-5,13000-20000 SAR,Full-time,Consulting,https://careers.pwc.com/sa/job/164
165,Senior AI Engineer,KPMG Saudi Arabia,Abha,Research and deploy AI solutions across computer vision and NLP domains. Build end-to-end AI systems at production scale.,"MLOps, NLP, Docker, FastAPI",3-5,18000-28000 SAR,Contract,Consulting,https://careers.kpmg.com/sa/job/165
166,Senior IT Auditor,Noon,Riyadh,"Conduct IT audits to assess controls, compliance, and risk across technology infrastructure and systems.","Risk Assessment, SQL, Audit Frameworks, ITIL, ISO 27001, Compliance, COBIT",5-8,18000-26000 SAR,Remote,Consulting,https://careers.noon.com/job/166
167,Machine Learning Engineer,Saudi National Bank,Madinah,Build production-grade ML systems and inference pipelines. Bridge research and engineering to deploy models at scale.,"Kubeflow, MLflow, FastAPI, Spark, Python, PyTorch",3-5,18000-26000 SAR,Remote,Banking,https://careers.snb.com.sa/job/167
168,Product Manager,Riyad Bank,Jubail,Own the product roadmap and strategy for a key business area. Work cross-functionally to ship impactful features.,"SQL, Agile, Jira, Figma, OKRs",6-10,28000-40000 SAR,Full-time,Banking,https://careers.riyadbank.com/job/168
169,Senior Senior Software Engineer,Careem,Riyadh,Lead design and implementation of complex distributed systems. Mentor junior engineers and define engineering standards.,"CI/CD, Python, Docker, PostgreSQL, AWS, Kotlin, Redis",6-10,26000-38000 SAR,Contract,Transportation,https://careers.careem.com/job/169
170,IT Project Manager,PwC Saudi Arabia,Riyadh,"Lead IT delivery projects from initiation to closure. Manage scope, budget, timeline, and stakeholder expectations.","Risk Management, PRINCE2, Stakeholder Management, MS Project, PMP",7-12,26000-38000 SAR,Full-time,Consulting,https://careers.pwc.com/sa/job/170
171,Senior Quality Assurance Engineer,Lean Technologies,Dammam,Design and execute automated and manual test plans. Ensure software quality across web and mobile platforms.,"Python, API Testing, Performance Testing, Postman, Selenium, Test Planning",2-4,10000-16000 SAR,Full-time,Fintech,https://careers.leantech.me/job/171
172,Senior Machine Learning Engineer,Bayanat Analytics,Jubail,Build production-grade ML systems and inference pipelines. Bridge research and engineering to deploy models at scale.,"Docker, FastAPI, Feature Engineering, MLflow, PyTorch",4-6,20000-30000 SAR,Full-time,AI/Analytics,https://careers.bayanat.sa/job/172
173,Principal Database Administrator,KPMG Saudi Arabia,Riyadh,Design database schemas and implement backup/recovery strategies. Monitor and tune database performance.,"Oracle, Performance Tuning, Backup & Recovery, Linux",5-8,17000-25000 SAR,Full-time,Consulting,https://careers.kpmg.com/sa/job/173
174,Senior NLP Engineer,NEOM,Tabuk,Develop and fine-tune large language models for Arabic content. Deploy NLP services at production scale.,"Python, BERT, LLMs, HuggingFace, Arabic NLP, PyTorch",4-6,20000-28000 SAR,Contract,AI/Analytics,https://careers.neom.com/job/174
175,Senior AI Engineer,STC Solutions,Riyadh,Develop AI-powered features and integrate ML models into products. Maintain and improve AI infrastructure.,"PyTorch, NLP, MLOps, FastAPI, Computer Vision, Docker",3-5,18000-28000 SAR,Full-time,IT Services,https://careers.stcsolutions.com.sa/job/175
176,Frontend Developer,Amazon Saudi Arabia,Riyadh,Develop and maintain customer-facing web applications. Collaborate closely with UX designers and backend teams.,"HTML, Next.js, Git, React, Redux",2-4,12000-18000 SAR,Full-time,E-commerce,https://careers.amazon.sa/job/176
177,Junior Scrum Master,Tahaluf,Riyadh,Coach teams on Scrum practices and Agile principles. Coordinate dependencies across teams.,"Jira, Confluence, Coaching, SAFe, Facilitation, Kanban",2-4,12000-18000 SAR,Full-time,Events Tech,https://careers.tahaluf.ae/job/177
178,Senior IT Auditor,PwC Saudi Arabia,Riyadh,Evaluate cybersecurity and IT governance practices. Produce audit reports and recommendations for management.,"SQL, ISO 27001, Risk Assessment, ITIL, Audit Frameworks, Compliance",3-5,13000-20000 SAR,Full-time,Consulting,https://careers.pwc.com/sa/job/178
179,IT Auditor,Jarir Bookstore,Jubail,"Conduct IT audits to assess controls, compliance, and risk across technology infrastructure and systems.","COBIT, SQL, Compliance, ISO 27001, ITIL, Risk Assessment, Audit Frameworks",5-8,18000-26000 SAR,Full-time,Consulting,https://careers.jarir.com/job/179
180,Senior DevOps Engineer,Google Saudi Arabia,Khobar,Automate infrastructure provisioning and deployment workflows. Monitor system health and respond to incidents.,"Kubernetes, Jenkins, Terraform, Docker, CI/CD, Prometheus, AWS",5-8,20000-30000 SAR,Full-time,Tech,https://careers.google.com/sa/job/180
181,Lead Cloud Architect,KPMG Saudi Arabia,Dammam,Lead cloud transformation programs. Establish cloud governance frameworks and security best practices.,"Terraform, Azure, GCP, Architecture Design, Security, AWS, Networking",8-12,30000-45000 SAR,Full-time,Consulting,https://careers.kpmg.com/sa/job/181
182,SAP Consultant,Accenture Saudi Arabia,Riyadh,Design SAP solutions aligned with business processes. Provide Level 2/3 support for SAP environments.,"SAP S/4HANA, SQL, Business Process, ABAP",5-9,20000-30000 SAR,Full-time,ERP,https://careers.accenture.com/sa/job/182
183,Senior NLP Engineer,Takamol Holding,Madinah,Develop and fine-tune large language models for Arabic content. Deploy NLP services at production scale.,"FastAPI, HuggingFace, LLMs, Transformers",3-5,17000-25000 SAR,Full-time,AI/Analytics,https://careers.takamol.com.sa/job/183
184,Technical Support Engineer,Saudi Payments,Madinah,Provide Level 2/3 technical support for enterprise software and infrastructure. Resolve complex customer issues.,"Windows, Linux, Customer Support, Troubleshooting, Networking",1-3,8000-13000 SAR,Full-time,Fintech,https://careers.saudipayments.com/job/184
185,Senior Network Engineer,Tabby,Riyadh,"Design, implement, and maintain enterprise network infrastructure. Ensure high availability and security of network systems.","Routing, Switching, MPLS, Linux, Cisco",2-5,12000-18000 SAR,Full-time,Fintech,https://careers.tabby.ai/job/185
186,Senior UX Designer,King Fahd University,Dhahran,"Design user-centered experiences for digital products. Conduct research, build prototypes, and validate designs with users.","User Research, Adobe XD, Information Architecture, Figma",2-4,10000-16000 SAR,Full-time,Education,https://careers.kfupm.edu.sa/job/186
187,Senior SAP Consultant,Elm,Madinah,Implement and configure SAP ERP modules for government and enterprise clients. Conduct gap analysis and support go-live.,"SAP S/4HANA, Business Process, SAP ERP, SAP SD, SAP FICO, ABAP",3-6,15000-22000 SAR,Full-time,ERP,https://careers.elm.sa/job/187
188,Lead SAP Consultant,Riyad Bank,Tabuk,Implement and configure SAP ERP modules for government and enterprise clients. Conduct gap analysis and support go-live.,"SAP SD, SAP FICO, ABAP, Business Process",5-9,20000-30000 SAR,Full-time,ERP,https://careers.riyadbank.com/job/188
189,Senior Network Engineer,Bayanat Analytics,Makkah,Troubleshoot complex network issues and optimize performance across multi-site environments.,"Firewall, Linux, CCNA, MPLS, Routing, Cisco, Network Security",2-5,12000-18000 SAR,Remote,AI/Analytics,https://careers.bayanat.sa/job/189
190,Software Engineer,Hunger Station,Riyadh,Build and maintain core platform services. Collaborate with cross-functional teams on architecture and implementation.,"Docker, Python, SQL, Git, AWS, Java",3-5,15000-22000 SAR,Full-time,Food Delivery,https://careers.hungerstation.com/job/190
191,Business Analyst,Zain KSA,Riyadh,Analyze business processes and translate requirements into technical solutions. Deliver insights for Vision 2030 projects.,"Excel, Stakeholder Management, Power BI, Tableau, SQL, Process Mapping",3-5,13000-19000 SAR,Full-time,Telecom,https://careers.sa.zain.com/job/191
192,AI Engineer,Google Saudi Arabia,Tabuk,Research and deploy AI solutions across computer vision and NLP domains. Build end-to-end AI systems at production scale.,"CUDA, MLOps, Docker, Computer Vision",3-5,18000-28000 SAR,Full-time,Tech,https://careers.google.com/sa/job/192
193,Junior Machine Learning Engineer,STV,Makkah,Build production-grade ML systems and inference pipelines. Bridge research and engineering to deploy models at scale.,"Feature Engineering, Python, Docker, PyTorch, Kubeflow, Spark",3-5,18000-26000 SAR,Full-time,Media,https://careers.stv.tv/job/193
194,Machine Learning Engineer,KPMG Saudi Arabia,Riyadh,Design and implement ML platforms and tooling. Optimize model performance and maintain production systems.,"Feature Engineering, Docker, MLflow, Python",4-6,20000-30000 SAR,Contract,Consulting,https://careers.kpmg.com/sa/job/194
195,Cybersecurity Analyst,Dar Al Arkan,Riyadh,Perform vulnerability assessments and security audits. Develop and maintain security policies and procedures.,"ISO 27001, SIEM, SOC, Penetration Testing",3-5,14000-22000 SAR,Full-time,Real Estate,https://careers.daralarkan.com/job/195
196,Full Stack Developer,Takamol Holding,Khobar,Develop SaaS platform features end-to-end. Balance speed of delivery with code quality and maintainability.,"AWS, Docker, React, TypeScript, Node.js, PostgreSQL, Git",3-5,14000-22000 SAR,Remote,HR Tech,https://careers.takamol.com.sa/job/196
197,Senior IT Project Manager,Tahaluf,Riyadh,"Lead IT delivery projects from initiation to closure. Manage scope, budget, timeline, and stakeholder expectations.","Scrum, Risk Management, MS Project, Stakeholder Management",4-7,16000-24000 SAR,Contract,Events Tech,https://careers.tahaluf.ae/job/197
198,Mobile Developer — Android,KPMG Saudi Arabia,Riyadh,Build and maintain Android mobile applications for millions of Saudi users. Optimize performance and user experience.,"Kotlin, Git, REST APIs, Firebase",3-5,14000-22000 SAR,Full-time,Consulting,https://careers.kpmg.com/sa/job/198
199,Data Scientist,Ernst & Young KSA,Riyadh,Research and implement state-of-the-art ML algorithms. Build end-to-end model pipelines from data collection to deployment.,"Scikit-learn, SQL, Machine Learning, Statistics",1-3,12000-18000 SAR,Contract,Consulting,https://careers.ey.com/sa/job/199
200,Machine Learning Engineer,Riyad Bank,Madinah,Design and implement ML platforms and tooling. Optimize model performance and maintain production systems.,"Kubeflow, MLflow, PyTorch, FastAPI, Docker, Feature Engineering",3-5,18000-26000 SAR,Full-time,Banking,https://careers.riyadbank.com/job/200
201,Cloud Architect,Ma'aden,Abha,Design multi-cloud architectures for enterprise and government clients. Define cloud strategy and migration roadmaps.,"Networking, Cost Optimization, Architecture Design, GCP, Terraform, Azure",8-12,30000-45000 SAR,Full-time,Mining,https://careers.maaden.com.sa/job/201
202,Senior Technical Support Engineer,Ministry of Health,Riyadh,Diagnose and troubleshoot technical problems. Document solutions and improve support knowledge base.,"Troubleshooting, Ticketing Systems, Linux, SQL, Windows",1-3,8000-13000 SAR,Full-time,Healthcare,https://careers.moh.gov.sa/job/202
203,Senior Mobile Developer — Android,Hunger Station,Riyadh,Develop new features and improve existing Android application. Work closely with product and design teams.,"Kotlin, MVVM, Android SDK, Firebase, Git, Jetpack Compose",2-4,12000-18000 SAR,Full-time,Food Delivery,https://careers.hungerstation.com/job/203
204,Data Analyst,Foodics,Jubail,"Monitor KPIs, identify trends, and present findings to leadership. Support data-driven decision making.","Excel, Python, Power BI, Tableau, SQL",3-5,13000-19000 SAR,Full-time,SaaS,https://careers.foodics.com/job/204
205,Backend Developer,Unifonic,Tabuk,"Build and maintain backend APIs and services. Ensure scalability, reliability, and performance of server-side systems.","Redis, Docker, PostgreSQL, AWS, GraphQL, Python, REST APIs",2-4,12000-18000 SAR,Full-time,Communication,https://careers.unifonic.com/job/205
206,SAP Consultant,KPMG Saudi Arabia,Riyadh,Design SAP solutions aligned with business processes. Provide Level 2/3 support for SAP environments.,"SAP SD, Business Process, ABAP, SAP ERP, SQL",5-9,20000-30000 SAR,Full-time,ERP,https://careers.kpmg.com/sa/job/206
207,Senior Software Engineer,Hunger Station,Jubail,Architect and build scalable services handling high traffic loads. Drive technical decisions across the team.,"System Design, PostgreSQL, CI/CD, Docker, AWS",6-10,26000-38000 SAR,Full-time,Food Delivery,https://careers.hungerstation.com/job/207
208,Senior Network Engineer,Hunger Station,Tabuk,Troubleshoot complex network issues and optimize performance across multi-site environments.,"Linux, BGP, Cisco, Firewall, Network Security",4-7,16000-24000 SAR,Remote,Food Delivery,https://careers.hungerstation.com/job/208
209,Junior Technical Support Engineer,King Fahd University,Abha,Provide Level 2/3 technical support for enterprise software and infrastructure. Resolve complex customer issues.,"Troubleshooting, Linux, Ticketing Systems, Windows",1-3,8000-13000 SAR,Full-time,Education,https://careers.kfupm.edu.sa/job/209
210,Senior DevOps Engineer,Saudi Aramco,Dhahran,Manage containerized workloads and cloud infrastructure. Drive SRE practices across engineering teams.,"Prometheus, Ansible, Kubernetes, CI/CD",3-5,16000-24000 SAR,Full-time,Energy,https://careers.aramco.com/job/210
211,Senior Senior Software Engineer,Tahaluf,Abha,Lead design and implementation of complex distributed systems. Mentor junior engineers and define engineering standards.,"Kotlin, Java, Kubernetes, AWS, Docker, PostgreSQL, Redis",6-10,26000-38000 SAR,Full-time,Events Tech,https://careers.tahaluf.ae/job/211
212,NLP Engineer,Saudi Payments,Jeddah,Develop and fine-tune large language models for Arabic content. Deploy NLP services at production scale.,"HuggingFace, FastAPI, Arabic NLP, Transformers, Python, PyTorch, LLMs",4-6,20000-28000 SAR,Full-time,AI/Analytics,https://careers.saudipayments.com/job/212
